,avg_score,ci_bound,cv_scores,feature_idx,std_dev,std_err
1,0.6151843563413284,0.0023810898004616174,"[ 0.61324942  0.62146406  0.61371315  0.60973832  0.61397814  0.61775422
  0.61170001  0.61713264  0.61647012  0.61664348]","(12,)",0.0032059354806749972,0.0010686451602249991
2,0.77020767265507539,0.0021406481482724939,"[ 0.76442531  0.76787016  0.77250745  0.77396489  0.77263995  0.77191123
  0.77255863  0.76712601  0.76964357  0.76942954]","(9, 12)",0.0028822011873964387,0.00096073372913214601
3,0.77642187946575014,0.0024149115712932216,"[ 0.77151375  0.77111626  0.7770785   0.78310699  0.77880093  0.777211
  0.77659997  0.7753412   0.77613621  0.77731399]","(9, 2, 12)",0.0032514736267404152,0.0010838245422468051
4,0.78014507981894488,0.0022799021047098978,"[ 0.7748261   0.77846969  0.78125207  0.78575687  0.78111958  0.78078834
  0.78090632  0.7753412   0.7824301   0.78056052]","(9, 2, 4, 12)",0.0030696948298791762,0.0010232316099597252
5,0.78247706250824811,0.0021993029114800357,"[ 0.77893342  0.77919841  0.78244452  0.78714806  0.78535939  0.78277575
  0.78382139  0.77719624  0.78421889  0.78367455]","(2, 3, 4, 9, 12)",0.0029611748516577331,0.00098705828388591073
6,0.78482891844956637,0.002286641561843526,"[ 0.77966214  0.78078834  0.78582312  0.78920172  0.78688307  0.78668433
  0.78541142  0.78070757  0.78713396  0.78599351]","(1, 2, 3, 4, 9, 12)",0.0030787689373492078,0.0010262563124497359
7,0.78447780793340072,0.0022496119862437966,"[ 0.77966214  0.78005962  0.78482941  0.78900298  0.78655184  0.7862206
  0.78501391  0.78077382  0.78600769  0.78665607]","(0, 1, 2, 3, 4, 9, 12)",0.0030289117542112625,0.001009637251403754
8,0.78469642292920605,0.002091394660138838,"[ 0.77986088  0.78164955  0.78602186  0.788473    0.78628685  0.78529314
  0.78561018  0.78050881  0.78759772  0.78566223]","(0, 1, 2, 3, 4, 9, 12, 14)",0.0028158855427180729,0.00093862851423935753
9,0.78447116127530325,0.0021230411304645766,"[ 0.7793309   0.78098708  0.78516065  0.78661809  0.78641934  0.78754554
  0.78832649  0.78176759  0.78541142  0.7831445 ]","(0, 1, 2, 3, 4, 5, 9, 12, 14)",0.0028584948311353949,0.00095283161037846491
10,0.78472290596866201,0.0021419304649349016,"[ 0.77992713  0.78125207  0.7850944   0.78893673  0.78681683  0.78714806
  0.78720021  0.78103882  0.78521267  0.78460213]","(0, 1, 2, 3, 4, 5, 7, 9, 12, 14)",0.0028839277180315601,0.00096130923934385326
11,0.78469639966621507,0.0022598045770825873,"[ 0.78012587  0.78138456  0.7852269   0.7886055   0.78588937  0.78820802
  0.78766397  0.7801113   0.78574268  0.78400583]","(0, 1, 2, 3, 4, 5, 7, 9, 11, 12, 14)",0.0030426352133616679,0.0010142117377872225
12,0.78474276912622243,0.0021579498475150613,"[ 0.77986088  0.78191454  0.78535939  0.78906923  0.78608811  0.78814177
  0.78633894  0.78077382  0.78587518  0.78400583]","(0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 14)",0.0029054964581027173,0.00096849881936757242
13,0.78475602030226421,0.0021556543727347709,"[ 0.77986088  0.78191454  0.78535939  0.78906923  0.78608811  0.78814177
  0.78633894  0.78077382  0.78587518  0.78413834]","(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14)",0.0029024057959858582,0.00096746859866195267
14,0.78475602030226421,0.0021556543727347709,"[ 0.77986088  0.78191454  0.78535939  0.78906923  0.78608811  0.78814177
  0.78633894  0.78077382  0.78587518  0.78413834]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14)",0.0029024057959858582,0.00096746859866195267
15,0.78475602030226421,0.0021556543727347709,"[ 0.77986088  0.78191454  0.78535939  0.78906923  0.78608811  0.78814177
  0.78633894  0.78077382  0.78587518  0.78413834]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",0.0029024057959858582,0.00096746859866195267
16,0.78475602030226421,0.0021556543727347709,"[ 0.77986088  0.78191454  0.78535939  0.78906923  0.78608811  0.78814177
  0.78633894  0.78077382  0.78587518  0.78413834]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",0.0029024057959858582,0.00096746859866195267
